Total Population,ZIP,Traffic,Haz_Waste,Pollution_Burden,Linguistic_Isolation,Poverty,Housing_Burden
4699,90723,2768.637807,2.6,69.64,10.8,44.7,23.5
6360,92407,717.3453539,0.25,52.53,26.1,69.3,28.7
3763,90044,2339.742777,0,56.95,8.5,56.2,22.9
3469,91352,1841.906073,0.895,71.31,17.5,44.9,25.9
4402,91331,904.4845999,0.235,55.75,23.8,77.4,36.2
5606,90605,738.8575809,0.88,67.61,7.5,41.3,30.4
3250,91352,566.055855,1.025,60.02,24.1,44.6,37
4048,90247,1087.022092,0.445,63.39,17.9,35.5,32
4707,90061,584.5756011,4.245,60.17,6.5,36.7,20.1
5631,91331,511.6744698,0.475,67.25,15.9,43.5,20.9
2461,95348,935.8689659,0.26,54.74,11,61.2,23.4
1950,91606,1112.586878,0.37,55.33,25.9,55.5,28.5
3050,93726,1240.983202,0.27,54.69,10.5,56.1,24.3
2532,90029,3347.279442,0.105,54.88,46.8,64.3,39.5
6937,90606,2596.620899,4.725,63.75,10.5,30.1,23.4
3655,92411,656.1975843,0.175,52.53,10.3,70.1,22.4
5558,91767,2381.843538,0.245,58.93,8.8,51.5,20.3
4870,91406,4841.936815,0.92,63.20,34.4,68.4,34.5
3015,90044,2432.877282,0,52.69,15.3,49.3,32
4542,92509,1111.988223,4.19,70.33,13.3,33.9,16.7
9530,93215,658.400549,0.45,62.01,31.4,81.1,22.3
4086,90003,1040.803764,0.145,53.88,18.3,65.3,32
4301,95240,718.9004473,0.495,56.41,22.3,67.7,21.2
3084,91331,1037.939823,0.215,58.09,21.8,46.4,31
7237,92231,3199,0.2,61.21,47.7,46.5,20
3447,90731,1080.020014,1.205,61.12,11.8,56,27.8
2586,93305,507.236637,0.685,49.54,23.6,91.6,35.3
6247,90805,3537.21653,0.975,60.30,8.9,46.2,19.3
8430,92832,2571.278301,5.005,66.03,24.9,56.3,21.1
2572,91606,953.9061729,1.07,63.07,29.6,59.1,39.8
6379,90806,849.5687661,0.36,55.65,11.5,44.3,25.3
5407,90063,1483.372938,0.47,61.62,30.4,57.1,19.1
5285,90640,1091.304134,0.92,58.79,27.6,49.7,34.2
2896,90026,3455.10743,0.38,66.63,21.6,57.7,30
2407,90248,2451.509279,0.35,63.39,13.9,44.7,32.3
2682,90028,1146.0744,0.585,60.30,30.9,65.2,21.2
3057,90250,3544.376976,1.54,67.85,14.3,44.7,39.5
3480,93702,1290.694871,0.11,52.77,13.6,64.3,22.2
5975,92316,344.4523319,3.525,59.87,11.1,43.3,20.4
4940,90062,881.1667209,0.6,57.41,6.1,41.3,38.5
