Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG
24,96,283,262,28,54,13,0,11,29,1,1,14,75,0.206,0.251,0.382
29,50,149,131,9,27,5,0,3,10,0,0,17,40,0.206,0.302,0.313
22,49,177,160,18,33,6,2,2,13,2,1,10,44,0.206,0.256,0.306
27,47,171,155,17,32,6,3,4,12,7,0,13,48,0.206,0.272,0.361
30,84,296,262,21,54,12,1,4,23,0,0,29,57,0.206,0.292,0.305
23,100,326,299,31,62,13,0,4,19,3,2,19,64,0.207,0.256,0.291
25,32,102,92,8,19,4,0,4,11,1,0,8,35,0.207,0.284,0.380
24,39,125,116,13,24,6,0,5,20,0,0,8,55,0.207,0.264,0.388
31,54,215,188,23,39,7,0,10,24,1,1,23,53,0.207,0.298,0.404
27,55,128,121,17,25,6,1,4,16,2,2,5,29,0.207,0.242,0.372
28,135,472,426,49,88,19,3,13,53,6,1,32,109,0.207,0.275,0.357
27,35,95,82,14,17,1,0,3,4,3,2,7,19,0.207,0.309,0.329
30,72,306,270,32,56,13,0,13,34,0,2,31,90,0.207,0.295,0.400
28,77,251,217,29,45,7,1,8,26,1,0,26,51,0.207,0.305,0.359
30,134,534,469,67,97,28,0,25,66,8,4,53,183,0.207,0.298,0.426
26,69,190,168,19,35,6,0,4,15,0,1,16,59,0.208,0.289,0.315
27,83,216,197,21,41,8,0,3,16,2,3,12,26,0.208,0.254,0.294
25,67,236,212,25,44,10,1,7,27,0,0,23,62,0.208,0.285,0.363
27,54,127,120,17,25,6,1,4,16,2,2,5,28,0.208,0.244,0.375
31,59,220,202,25,42,6,2,3,18,7,0,15,59,0.208,0.260,0.302
32,129,477,411,40,86,19,1,7,45,6,2,56,129,0.209,0.310,0.311
26,32,71,67,7,14,2,0,2,5,1,0,2,25,0.209,0.254,0.328
26,144,550,504,70,106,27,3,19,68,14,3,38,150,0.210,0.265,0.389
32,91,290,271,21,57,19,1,3,29,2,3,17,58,0.210,0.257,0.321
31,97,315,300,38,63,8,0,3,20,2,0,7,65,0.210,0.233,0.267
32,63,232,214,17,45,9,4,1,19,1,0,13,36,0.210,0.263,0.304
27,90,226,199,29,42,7,3,2,15,12,2,21,63,0.211,0.287,0.307
31,52,158,142,14,30,6,0,0,8,1,0,8,13,0.211,0.277,0.254
